PENAROL,77,QUILMES,58,1.08,7.0
DEJULIO,71,BOCAJUNIORS,83,1.58,2.34
OBRASSANITARIAS,66,GIMNASIA,74,1.1,6.5
WEBERBAHIA,74,QUILMES,64,1.15,4.5
REGATAS,78,SIONISTA,68,1.15,4.5
PENAROL,76,LANUS,73,1.3,3.2
LIBERTAD,84,OLIMPICO,83,1.15,4.5
QUIMSA,71,ATENAS,61,1.58,2.25
LAUNION,82,SANMARTIN,68,1.1,6.5
OBRASSANITARIAS,73,BOCAJUNIORS,81,1.25,3.5
WEBERBAHIA,77,LANUS,63,1.5,2.5
LIBERTAD,71,ATENAS,81,1.4,2.75
REGATAS,86,SANMARTIN,70,1.1,6.5
LAUNION,81,SIONISTA,87,1.1,6.5
QUIMSA,83,OLIMPICO,74,1.3,3.2
QUILMES,74,OBRASSANITARIAS,90,2.5,1.5
ATENAS,87,LAUNION,74,1.41,2.7
BOCAJUNIORS,87,WEBERBAHIA,73,1.48,2.64
LANUS,58,OBRASSANITARIAS,64,1.66,2.21
SANMARTIN,64,LIBERTAD,65,2.7,1.5
ATENAS,78,REGATAS,75,1.45,2.75
OLIMPICO,77,LAUNION,73,1.84,2.04
GIMNASIA,108,PENAROL,82,2.0,1.83
OBRASSANITARIAS,95,PENAROL,81,1.58,2.25
SIONISTA,77,QUIMSA,75,1.77,2.0
QUILMES,72,DEJULIO,61,1.53,2.46
BOCAJUNIORS,65,PENAROL,73,1.59,2.25
QUIMSA,93,REGATAS,79,1.74,2.02
QUILMES,86,BOCAJUNIORS,69,2.54,1.48
LIBERTAD,64,LAUNION,53,1.55,2.35
LANUS,74,GIMNASIA,69,1.48,2.54
DEJULIO,56,WEBERBAHIA,69,2.1,1.7
SIONISTA,86,OLIMPICO,91,1.4,2.85
LANUS,61,BOCAJUNIORS,62,1.48,2.58
QUILMES,77,GIMNASIA,96,1.75,2.0
LIBERTAD,79,REGATAS,86,1.58,2.3
SANMARTIN,95,ATENAS,89,2.92,1.4
QUIMSA,76,LAUNION,71,1.34,3.13
DEJULIO,85,PENAROL,97,4.06,1.22
SIONISTA,89,ATENAS,81,1.98,1.79
PENAROL,103,GIMNASIA,74,1.19,4.51
REGATAS,96,LIBERTAD,62,1.35,3.15
WEBERBAHIA,67,DEJULIO,76,1.1,5.75
BOCAJUNIORS,86,QUILMES,85,1.12,5.86
REGATAS,90,QUIMSA,84,1.33,3.25
PENAROL,79,OBRASSANITARIAS,81,1.37,3.0
GIMNASIA,95,LANUS,90,1.37,3.02
ATENAS,86,SIONISTA,98,1.21,4.24
OLIMPICO,65,SANMARTIN,59,1.34,3.17
LAUNION,75,LIBERTAD,78,1.45,2.68
WEBERBAHIA,83,OBRASSANITARIAS,61,1.72,2.05
GIMNASIA,64,QUILMES,59,1.13,5.84
BOCAJUNIORS,50,LANUS,79,1.35,3.08
PENAROL,88,DEJULIO,66,1.03,9.25
LAUNION,81,QUIMSA,79,1.63,2.2
ATENAS,103,SANMARTIN,75,1.11,6.24
OLIMPICO,104,SIONISTA,108,1.53,2.44
OBRASSANITARIAS,85,DEJULIO,79,1.05,8.42
PENAROL,87,WEBERBAHIA,96,1.25,3.84
LANUS,100,QUILMES,89,1.17,4.76
SANMARTIN,67,SIONISTA,86,1.89,1.85
LIBERTAD,79,QUIMSA,59,1.56,2.28
OLIMPICO,70,ATENAS,52,2.01,1.74
LAUNION,98,REGATAS,85,1.9,1.85
GIMNASIA,89,BOCAJUNIORS,65,1.38,2.94
BOCAJUNIORS,88,GIMNASIA,70,1.69,2.08
WEBERBAHIA,79,PENAROL,76,1.74,2.03
REGATAS,95,LAUNION,80,1.17,4.71
QUILMES,61,LANUS,81,1.9,1.84
ATENAS,89,OLIMPICO,77,1.21,4.2
SIONISTA,88,SANMARTIN,90,1.22,4.06
QUIMSA,78,LIBERTAD,71,1.39,2.9
DEJULIO,66,OBRASSANITARIAS,73,3.2,1.33
QUILMES,68,WEBERBAHIA,76,2.95,1.38
LANUS,72,PENAROL,86,1.55,2.43
BOCAJUNIORS,71,DEJULIO,63,1.13,5.74
SANMARTIN,68,LAUNION,66,2.04,1.74
GIMNASIA,79,OBRASSANITARIAS,85,1.73,2.08
SIONISTA,73,REGATAS,80,2.19,1.66
SIONISTA,93,LAUNION,102,1.49,2.58
LANUS,75,WEBERBAHIA,73,1.55,2.4
GIMNASIA,57,DEJULIO,62,1.11,6.84
BOCAJUNIORS,72,OBRASSANITARIAS,95,1.86,1.92
QUILMES,72,PENAROL,87,3.17,1.35
SANMARTIN,66,REGATAS,73,3.28,1.32
ATENAS,71,QUIMSA,89,1.4,2.75
OLIMPICO,60,LIBERTAD,90,1.8,1.99
OBRASSANITARIAS,85,WEBERBAHIA,64,1.55,2.38
ATENAS,79,LIBERTAD,84,1.54,2.42
OBRASSANITARIAS,77,LANUS,72,1.22,4.04
WEBERBAHIA,90,BOCAJUNIORS,82,1.17,4.56
REGATAS,81,ATENAS,74,1.22,4.04
LIBERTAD,87,SANMARTIN,62,1.1,6.33
QUIMSA,81,SIONISTA,73,1.2,4.26
LAUNION,95,OLIMPICO,91,1.32,3.21
DEJULIO,95,QUILMES,84,1.34,3.15
OBRASSANITARIAS,114,QUILMES,71,1.04,8.81
WEBERBAHIA,74,GIMNASIA,58,1.31,3.29
LIBERTAD,87,SIONISTA,79,1.29,3.4
REGATAS,86,OLIMPICO,80,1.07,7.07
LAUNION,71,ATENAS,66,1.54,2.37
QUIMSA,87,SANMARTIN,68,1.07,7.07
DEJULIO,69,LANUS,81,2.39,1.53
LANUS,79,SANMARTIN,70,1.06,8.0
BOCAJUNIORS,80,DEJULIO,60,1.18,4.44
REGATAS,65,QUIMSA,72,1.3,3.36
QUILMES,77,SIONISTA,81,2.38,1.54
GIMNASIA,85,OBRASSANITARIAS,88,2.13,1.66
OLIMPICO,83,PENAROL,52,3.85,1.24
LAUNION,68,LIBERTAD,80,1.58,2.29
GIMNASIA,96,DEJULIO,83,1.25,3.75
LANUS,70,SIONISTA,74,1.18,4.47
BOCAJUNIORS,58,OBRASSANITARIAS,102,2.38,1.53
QUILMES,86,SANMARTIN,76,1.67,2.16
REGATAS,80,LIBERTAD,77,1.31,3.32
ATENAS,59,PENAROL,75,2.64,1.46
LIBERTAD,86,LANUS,52,1.36,3.08
