VROSDARDA,107,DUBROVNIK,84,1.45,2.68
DUBRAVA,88,SLAVONSKIBROD,69,1.73,2.11
BORIKPUNTAMIKA,75,GKKSIBENIK,69,1.5,2.4
SLAVONSKIBROD,79,VROSDARDA,87,1.41,2.71
GKKSIBENIK,85,DUBRAVA,93,1.2,4.0
BORIKPUNTAMIKA,69,SPLIT,60,1.75,2.0
DUBROVNIK,80,SLAVONSKIBROD,90,1.36,2.92
VROSDARDA,84,GKKSIBENIK,95,1.2,4.0
SPLIT,88,DUBRAVA,62,1.26,3.58
GKKSIBENIK,100,DUBROVNIK,89,1.1,5.75
VROSDARDA,75,SPLIT,71,1.7,2.07
SLAVONSKIBROD,98,GKKSIBENIK,73,1.25,3.55
SPLIT,84,DUBROVNIK,68,1.09,7.07
BORIKPUNTAMIKA,71,DUBRAVA,59,1.27,3.49
GKKSIBENIK,73,TROGIR,97,1.25,3.55
DUBROVNIK,73,ZABOK,69,1.59,2.27
VROSDARDA,78,BORIKPUNTAMIKA,60,1.18,4.54
SLAVONSKIBROD,84,SPLIT,79,1.49,2.53
DUBRAVA,62,VROSDARDA,64,1.35,3.11
SPLIT,88,GKKSIBENIK,69,1.1,6.1
BORIKPUNTAMIKA,91,DUBROVNIK,69,1.16,4.88
ZABOK,91,SLAVONSKIBROD,70,1.68,2.11
KASTELA,79,TROGIR,80,2.0,1.78
GKKSIBENIK,86,ZABOK,95,1.6,2.2
DUBROVNIK,88,DUBRAVA,68,1.73,2.04
VROSDARDA,78,KASTELA,76,1.07,8.17
SLAVONSKIBROD,85,BORIKPUNTAMIKA,79,1.2,4.32
TROGIR,77,SPLIT,84,1.76,1.98
TROGIR,89,ZABOK,91,1.34,3.29
DUBROVNIK,93,VROSDARDA,65,2.13,1.69
SLAVONSKIBROD,97,DUBRAVA,74,1.24,3.91
KASTELA,56,SPLIT,64,3.05,1.36
DUBROVNIK,60,KASTELA,80,1.17,5.1
DUBRAVA,93,GKKSIBENIK,66,1.13,4.83
BORIKPUNTAMIKA,96,TROGIR,98,1.33,3.21
ZABOK,101,SPLIT,83,1.61,2.27
VROSDARDA,87,SLAVONSKIBROD,91,1.51,2.49
GKKSIBENIK,72,VROSDARDA,83,2.85,1.37
TROGIR,76,DUBRAVA,70,1.27,3.66
SPLIT,83,BORIKPUNTAMIKA,66,1.23,4.01
SLAVONSKIBROD,88,DUBROVNIK,77,1.11,6.23
KASTELA,62,ZABOK,76,1.6,2.26
DUBRAVA,86,SPLIT,79,1.92,1.86
VROSDARDA,82,TROGIR,83,1.31,3.36
SLAVONSKIBROD,79,KASTELA,73,1.1,6.41
BORIKPUNTAMIKA,78,ZABOK,79,1.53,2.44
DUBROVNIK,101,GKKSIBENIK,74,1.2,4.0
SPLIT,83,VROSDARDA,73,1.32,3.24
GKKSIBENIK,82,SLAVONSKIBROD,101,2.62,1.43
ZABOK,96,DUBRAVA,77,1.22,4.15
KASTELA,65,BORIKPUNTAMIKA,75,1.46,2.68
TROGIR,103,DUBROVNIK,87,1.14,5.28
GKKSIBENIK,95,KASTELA,70,1.7,2.02
DUBROVNIK,83,SPLIT,79,2.24,1.61
DUBRAVA,68,BORIKPUNTAMIKA,78,1.21,4.21
VROSDARDA,84,ZABOK,80,1.46,2.62
SLAVONSKIBROD,100,TROGIR,78,1.35,3.07
SPLIT,92,SLAVONSKIBROD,62,1.28,3.52
ZABOK,92,DUBROVNIK,86,1.12,5.92
BORIKPUNTAMIKA,79,VROSDARDA,62,1.52,2.5
KASTELA,58,DUBRAVA,64,1.57,2.35
TROGIR,83,GKKSIBENIK,70,1.1,5.75
GKKSIBENIK,70,SPLIT,67,4.34,1.17
DUBROVNIK,55,BORIKPUNTAMIKA,65,1.41,2.79
VROSDARDA,92,DUBRAVA,81,1.14,5.19
SLAVONSKIBROD,95,ZABOK,79,1.41,2.79
TROGIR,89,KASTELA,74,1.11,6.29
BORIKPUNTAMIKA,80,SLAVONSKIBROD,67,1.41,2.71
SPLIT,77,TROGIR,79,1.26,3.58
DUBRAVA,92,DUBROVNIK,105,1.16,4.52
ZABOK,84,GKKSIBENIK,73,1.08,6.5
KASTELA,94,VROSDARDA,75,1.9,1.85
KASTELA,67,DUBRAVA,79,1.5,2.4
SPLIT,84,DUBROVNIK,77,1.07,6.75
GKKSIBENIK,74,BORIKPUNTAMIKA,82,1.6,2.2
ZADAR,98,ZABOK,58,1.02,10.55
VROSDARDA,71,SLAVONSKIBROD,76,1.53,2.42
DUBROVNIK,94,GKKSIBENIK,82,1.1,5.75
BORIKPUNTAMIKA,76,KASTELA,63,1.1,5.75
CIBONA,98,TROGIR,72,1.01,11.5
DUBRAVA,68,SPLIT,91,1.65,2.1
CEDEVITA,100,VROSDARDA,64,1.02,10.29
ZABOK,66,CIBONA,84,10.0,1.02
SLAVONSKIBROD,77,ZADAR,81,7.1,1.08
ZAGREB,92,TROGIR,86,1.01,11.67
ZADAR,84,CEDEVITA,82,1.16,4.6
VROSDARDA,62,ZAGREB,86,8.36,1.06
BORIKPUNTAMIKA,103,DUBROVNIK,76,1.14,4.75
KASTELA,70,SPLIT,88,2.93,1.35
CIBONA,117,SLAVONSKIBROD,65,1.01,11.5
TROGIR,79,ZABOK,90,1.24,3.81
DUBRAVA,103,GKKSIBENIK,73,1.12,5.25
CEDEVITA,89,CIBONA,74,2.47,1.51
VROSDARDA,76,ZADAR,94,10.53,1.03
SLAVONSKIBROD,102,TROGIR,105,1.31,3.39
ZAGREB,86,ZABOK,79,1.01,11.0
ZABOK,108,SLAVONSKIBROD,88,1.31,3.16
TROGIR,70,CEDEVITA,97,7.14,1.08
DUBROVNIK,87,SPLIT,73,2.25,1.55
CIBONA,98,VROSDARDA,54,1.01,11.5
ZADAR,103,ZAGREB,74,1.3,3.2
DUBRAVA,86,KASTELA,79,1.07,6.75
CEDEVITA,91,ZABOK,75,1.01,11.5
SPLIT,85,DUBRAVA,96,1.07,6.75
KASTELA,90,BORIKPUNTAMIKA,87,1.65,2.1
VROSDARDA,94,TROGIR,77,1.74,2.01
GKKSIBENIK,107,DUBROVNIK,111,1.45,2.54
ZAGREB,114,SLAVONSKIBROD,89,1.01,11.5
ZADAR,74,CIBONA,68,1.7,2.06
ZABOK,88,VROSDARDA,62,1.13,5.43
DUBRAVA,108,DUBROVNIK,92,1.5,2.4
BORIKPUNTAMIKA,81,SPLIT,59,1.6,2.2
KASTELA,96,GKKSIBENIK,90,1.45,2.54
CIBONA,87,ZAGREB,70,1.17,4.71
TROGIR,73,ZADAR,93,8.91,1.05
SLAVONSKIBROD,74,CEDEVITA,86,8.61,1.05
SPLIT,75,KASTELA,71,1.2,4.0
GKKSIBENIK,85,DUBRAVA,76,1.25,3.55
DUBROVNIK,73,BORIKPUNTAMIKA,83,1.55,2.29
ZABOK,82,ZADAR,96,8.33,1.05
ZAGREB,72,CEDEVITA,80,1.62,2.2
TROGIR,72,CIBONA,95,10.66,1.02
SLAVONSKIBROD,90,VROSDARDA,81,1.21,4.12
CEDEVITA,98,ZAGREB,76,1.24,3.84
ZADAR,130,SLAVONSKIBROD,73,1.01,11.5
VROSDARDA,68,CEDEVITA,95,9.5,1.03
TROGIR,69,ZAGREB,86,7.99,1.07
CIBONA,103,ZABOK,66,1.01,11.5
ZAGREB,82,VROSDARDA,68,1.01,11.5
SLAVONSKIBROD,88,CIBONA,108,11.5,1.01
