PARISLEVALLOIS,62,LEMANS,85,1.58,2.35
STRASBOURG,74,NANTERRE,78,1.35,3.16
LEHAVRE,106,PAUORTHEZ,79,1.57,2.36
GRAVELINESDUNKERQUE,65,ROANNE,64,1.27,3.68
CHOLET,85,DIJON,75,1.38,3.0
CHALONSAONE,54,ORLEANS,67,1.33,3.25
ANTIBES,71,LIMOGES,89,2.14,1.68
NANCY,68,NANTERRE,72,1.46,2.67
LYONVILLEURBANNE,82,STRASBOURG,86,1.69,2.13
LEMANS,69,GRAVELINESDUNKERQUE,63,1.53,2.45
STRASBOURG,78,CHALONSAONE,68,1.31,3.35
ROANNE,82,PARISLEVALLOIS,74,1.57,2.36
PAUORTHEZ,89,LYONVILLEURBANNE,77,2.2,1.65
ORLEANS,81,LEHAVRE,76,1.27,3.68
NANTERRE,85,ANTIBES,58,1.16,5.03
DIJON,99,NANCY,97,1.72,2.04
LIMOGES,76,CHOLET,85,1.42,2.78
PARISLEVALLOIS,85,NANTERRE,94,1.89,1.86
LIMOGES,73,ROANNE,59,1.67,2.14
GRAVELINESDUNKERQUE,57,DIJON,65,1.22,4.13
CHOLET,80,LEHAVRE,68,1.27,3.58
CHALONSAONE,89,LEMANS,77,1.72,2.05
ANTIBES,50,STRASBOURG,69,3.07,1.35
LYONVILLEURBANNE,79,ORLEANS,82,1.42,2.75
PAUORTHEZ,89,NANCY,91,2.06,1.72
ORLEANS,81,PAUORTHEZ,62,1.21,4.24
NANCY,76,GRAVELINESDUNKERQUE,64,1.63,2.19
LEHAVRE,47,LIMOGES,74,1.62,2.23
DIJON,63,LEMANS,47,1.99,1.76
CHALONSAONE,65,PARISLEVALLOIS,75,1.31,3.28
NANTERRE,94,LYONVILLEURBANNE,81,1.34,3.1
STRASBOURG,75,CHOLET,81,1.34,3.09
ANTIBES,73,ROANNE,68,3.03,1.36
ROANNE,69,DIJON,60,1.51,2.51
PARISLEVALLOIS,83,PAUORTHEZ,90,1.27,3.68
LYONVILLEURBANNE,85,CHALONSAONE,75,1.52,2.48
LEMANS,63,ANTIBES,60,1.09,7.1
GRAVELINESDUNKERQUE,67,STRASBOURG,72,1.55,2.4
CHOLET,59,NANTERRE,79,1.58,2.32
LEHAVRE,88,NANCY,76,2.18,1.66
LIMOGES,72,ORLEANS,64,1.58,2.34
PAUORTHEZ,81,LIMOGES,85,1.96,1.81
STRASBOURG,88,PARISLEVALLOIS,89,1.23,4.09
ORLEANS,87,CHOLET,80,1.58,2.34
LYONVILLEURBANNE,78,LEHAVRE,63,1.29,3.5
CHALONSAONE,66,DIJON,73,1.46,2.66
ANTIBES,67,GRAVELINESDUNKERQUE,76,2.6,1.48
NANTERRE,67,LEMANS,69,1.27,3.68
NANCY,56,ROANNE,49,1.4,2.86
ROANNE,58,CHALONSAONE,64,1.41,2.84
LEHAVRE,82,PARISLEVALLOIS,85,1.68,2.13
GRAVELINESDUNKERQUE,64,LYONVILLEURBANNE,69,1.47,2.61
DIJON,77,ANTIBES,57,1.13,5.87
CHOLET,94,PAUORTHEZ,87,1.19,4.47
NANTERRE,71,ORLEANS,69,1.27,3.63
LEMANS,84,STRASBOURG,68,1.55,2.39
LIMOGES,71,NANCY,74,1.42,2.8
CHOLET,58,LEMANS,61,1.58,2.33
PARISLEVALLOIS,72,DIJON,63,1.55,2.4
ORLEANS,82,ANTIBES,76,1.07,7.9
NANCY,60,LYONVILLEURBANNE,59,1.47,2.62
CHALONSAONE,102,GRAVELINESDUNKERQUE,74,1.64,2.21
STRASBOURG,73,PAUORTHEZ,43,1.14,5.43
LIMOGES,87,NANTERRE,71,1.98,1.8
ROANNE,82,LEHAVRE,72,1.31,3.33
PARISLEVALLOIS,83,CHOLET,75,1.6,2.3
LEMANS,60,LIMOGES,86,1.43,2.76
PAUORTHEZ,84,GRAVELINESDUNKERQUE,77,1.94,1.83
DIJON,82,NANTERRE,80,2.09,1.71
ANTIBES,80,CHALONSAONE,103,2.95,1.38
LEHAVRE,75,STRASBOURG,77,2.74,1.44
