PROVENCE,73,JLBOURG,70,1.55,2.34
LILLE,70,EVREUX,78,1.85,1.87
DENAINVOLTAIRE,84,HYERESTOULON,77,1.61,2.19
CHALONSREIMS,88,ORCHIES,75,1.3,3.26
AIXMAURIENNE,77,LEPORTEL,82,1.57,2.28
SOUFFELWEYERSHEIM,69,ROUEN,62,2.3,1.57
SAINTQUENTIN,88,NANTES,63,1.38,2.86
BOULOGNESURMER,95,SAINTVALLIER,73,1.19,4.26
ROUEN,88,LILLE,81,1.36,2.89
NANTES,73,PROVENCE,84,2.56,1.46
JLBOURG,85,SAINTQUENTIN,70,1.21,4.03
HYERESTOULON,57,CHALONSREIMS,75,1.98,1.75
EVREUX,70,SOUFFELWEYERSHEIM,55,1.23,3.8
SAINTVALLIER,84,DENAINVOLTAIRE,87,1.85,1.89
ORCHIES,81,AIXMAURIENNE,77,1.57,2.3
BOULAZAC,65,BOULOGNESURMER,71,1.53,2.4
LILLE,75,CHALONSREIMS,91,2.78,1.41
DENAINVOLTAIRE,82,NANTES,84,1.19,4.31
AIXMAURIENNE,77,HYERESTOULON,81,1.26,3.58
PROVENCE,75,LEPORTEL,73,1.38,2.87
SOUFFELWEYERSHEIM,69,ORCHIES,63,1.41,2.72
SAINTQUENTIN,91,SAINTVALLIER,103,1.25,3.57
POITIERS,94,ROUEN,76,1.26,3.5
JLBOURG,52,BOULAZAC,65,1.49,2.45
BOULOGNESURMER,70,EVREUX,66,1.49,2.46
LEPORTEL,82,POITIERS,80,1.81,1.9
ROUEN,89,DENAINVOLTAIRE,65,1.36,2.98
POITIERS,94,PROVENCE,98,1.35,3.04
LEPORTEL,81,SAINTQUENTIN,87,1.2,4.22
HYERESTOULON,80,BOULOGNESURMER,87,3.63,1.26
EVREUX,76,JLBOURG,70,1.43,2.72
CHALONSREIMS,77,SOUFFELWEYERSHEIM,75,1.11,6.05
AIXMAURIENNE,85,NANTES,79,1.21,4.09
SAINTVALLIER,85,LILLE,76,1.56,2.32
ORCHIES,61,BOULAZAC,64,1.94,1.77
POITIERS,68,BOULAZAC,67,1.61,2.19
SOUFFELWEYERSHEIM,62,POITIERS,66,2.05,1.71
NANTES,88,CHALONSREIMS,69,2.46,1.51
LILLE,65,LEPORTEL,80,1.93,1.79
JLBOURG,57,AIXMAURIENNE,73,1.34,3.04
DENAINVOLTAIRE,75,PROVENCE,68,2.07,1.7
SAINTVALLIER,59,HYERESTOULON,68,1.5,2.42
SAINTQUENTIN,76,EVREUX,68,1.68,2.07
BOULOGNESURMER,83,ORCHIES,95,1.21,3.96
BOULAZAC,66,ROUEN,67,1.32,3.11
