BONN,80,BAYERN,76,2.61,1.46
WURZBURG,74,TRIER,67,1.4,2.83
LUDWIGSBURG,73,GIESSEN,56,1.17,4.67
FRANKFURT,53,OLDENBURG,72,1.74,2.0
BRAUNSCHWEIG,103,PHOENIXHAGEN,74,1.15,4.78
BAYREUTH,71,ULM,82,1.82,1.9
BROSEBASKETS,107,GOTTINGEN,63,1.05,9.46
TRIER,75,BREMERHAVEN,56,1.99,1.76
BAYERN,90,BRAUNSCHWEIG,87,1.31,3.28
ULM,84,ARTLAND,79,1.93,1.8
PHOENIXHAGEN,83,BONN,95,2.44,1.52
GOTTINGEN,93,LUDWIGSBURG,71,1.73,2.04
TBINGEN,66,FRANKFURT,73,2.04,1.72
OLDENBURG,88,BAYREUTH,67,1.04,9.48
GIESSEN,60,WURZBURG,85,1.94,1.79
BREMERHAVEN,71,ALBABERLIN,69,2.78,1.41
FRANKFURT,80,WURZBURG,78,1.4,2.82
BROSEBASKETS,64,ULM,59,1.03,9.89
BRAUNSCHWEIG,68,ALBABERLIN,87,2.19,1.62
BONN,83,GIESSEN,67,1.05,8.93
BAYREUTH,80,PHOENIXHAGEN,88,1.61,2.22
BAYERN,86,TBINGEN,77,1.06,8.08
ARTLAND,88,TRIER,62,1.29,3.35
LUDWIGSBURG,98,OLDENBURG,77,2.76,1.41
GOTTINGEN,73,BAYERN,77,2.56,1.47
WURZBURG,76,BAYREUTH,46,1.1,6.32
LUDWIGSBURG,84,BREMERHAVEN,73,1.42,2.73
TRIER,74,ULM,80,1.85,1.87
GIESSEN,110,ARTLAND,109,3.33,1.3
FRANKFURT,64,BONN,79,1.62,2.2
PHOENIXHAGEN,98,ALBABERLIN,91,4.85,1.16
TBINGEN,68,BROSEBASKETS,92,5.11,1.14
OLDENBURG,88,BRAUNSCHWEIG,90,1.27,3.57
BREMERHAVEN,77,GOTTINGEN,63,1.46,2.61
ARTLAND,108,TBINGEN,103,1.1,6.3
ULM,81,FRANKFURT,75,1.45,2.63
BAYERN,100,PHOENIXHAGEN,81,1.1,6.27
GOTTINGEN,60,TRIER,71,1.52,2.43
BAYREUTH,64,LUDWIGSBURG,58,3.04,1.35
ARTLAND,87,WURZBURG,74,1.46,2.58
BONN,81,OLDENBURG,79,1.51,2.48
BREMERHAVEN,82,GIESSEN,79,1.14,5.16
BROSEBASKETS,95,BRAUNSCHWEIG,57,1.07,7.76
ALBABERLIN,76,TBINGEN,56,1.05,9.42
ARTLAND,83,BREMERHAVEN,86,1.41,2.77
FRANKFURT,57,ALBABERLIN,83,2.98,1.36
WURZBURG,71,BONN,61,1.76,1.98
LUDWIGSBURG,69,BRAUNSCHWEIG,70,1.55,2.35
TRIER,68,BAYREUTH,62,1.21,4.19
GIESSEN,76,GOTTINGEN,64,1.78,1.96
OLDENBURG,88,BAYERN,81,2.06,1.71
PHOENIXHAGEN,76,BROSEBASKETS,106,8.3,1.06
BRAUNSCHWEIG,71,ARTLAND,72,1.59,2.27
WURZBURG,61,ULM,59,1.58,2.3
PHOENIXHAGEN,83,TRIER,78,1.75,2.0
BAYERN,61,LUDWIGSBURG,55,1.1,6.37
GOTTINGEN,65,BONN,84,2.74,1.42
BROSEBASKETS,97,FRANKFURT,63,1.02,9.92
BREMERHAVEN,83,TBINGEN,90,1.1,6.55
BAYREUTH,74,GIESSEN,52,1.73,2.02
ALBABERLIN,97,OLDENBURG,67,1.26,3.62
FRANKFURT,55,BREMERHAVEN,63,2.01,1.73
WURZBURG,92,GOTTINGEN,60,1.1,6.58
LUDWIGSBURG,76,ULM,77,1.62,2.21
TBINGEN,53,BAYREUTH,69,1.51,2.44
GIESSEN,61,ALBABERLIN,73,5.55,1.13
ARTLAND,86,BAYERN,83,1.98,1.75
TRIER,52,BRAUNSCHWEIG,63,1.72,2.05
BONN,73,BROSEBASKETS,85,3.65,1.26
OLDENBURG,86,PHOENIXHAGEN,70,1.18,4.52
