LABORALKUTXA,73,SEVILLA,60,1.11,6.43
LABRUIXADOR,71,JOVENTUTBADALONA,59,1.62,2.25
UNICAJA,85,GRANCANARIA,68,1.24,4.0
REALMADRID,88,FUENLABRADA,70,1.04,10.88
MURCIA,54,BARCELONA,62,7.81,1.08
GIPUZKOABASKET,68,OBRADOIROCAB,71,1.28,3.65
ALICANTE,81,BILBAO,77,2.46,1.53
ESTUDIANTES,71,VALENCIA,69,2.37,1.57
SEVILLA,86,ALICANTE,61,1.27,3.67
GRANCANARIA,68,LABORALKUTXA,77,2.55,1.5
JOVENTUTBADALONA,71,MURCIA,65,1.41,2.85
VALENCIA,82,ZARAGOZA,66,1.21,4.35
BARCELONA,97,ESTUDIANTES,51,1.02,11.66
FUENLABRADA,73,LABRUIXADOR,79,1.33,3.27
OBRADOIROCAB,71,UNICAJA,78,2.71,1.45
VALLADOLID,89,GIPUZKOABASKET,86,1.41,2.85
BILBAO,86,REALMADRID,82,2.89,1.39
GIPUZKOABASKET,92,UNICAJA,95,2.87,1.4
ZARAGOZA,86,LABORALKUTXA,66,3.15,1.35
VALLADOLID,72,REALMADRID,84,4.06,1.23
VALENCIA,67,ALICANTE,70,1.08,7.84
OBRADOIROCAB,61,LABRUIXADOR,49,1.53,2.45
GRANCANARIA,66,MURCIA,54,1.29,3.49
FUENLABRADA,88,ESTUDIANTES,80,1.53,2.44
BILBAO,78,JOVENTUTBADALONA,72,1.15,5.2
SEVILLA,81,BARCELONA,75,4.17,1.22
ESTUDIANTES,62,GIPUZKOABASKET,58,1.33,3.24
MURCIA,65,SEVILLA,58,2.33,1.58
JOVENTUTBADALONA,62,FUENLABRADA,73,1.41,2.85
UNICAJA,79,ZARAGOZA,57,1.18,4.64
REALMADRID,81,OBRADOIROCAB,67,1.02,12.79
LABORALKUTXA,72,VALENCIA,82,1.19,4.49
LABRUIXADOR,69,GRANCANARIA,60,1.7,2.11
ALICANTE,91,VALLADOLID,64,1.36,3.1
BARCELONA,91,BILBAO,72,1.08,7.63
JOVENTUTBADALONA,74,ESTUDIANTES,71,1.37,3.04
SEVILLA,76,LABRUIXADOR,65,1.17,4.78
ZARAGOZA,77,GIPUZKOABASKET,86,1.31,3.36
VALLADOLID,64,LABORALKUTXA,76,3.33,1.32
VALENCIA,75,UNICAJA,62,1.52,2.46
OBRADOIROCAB,69,ALICANTE,73,1.68,2.14
FUENLABRADA,56,BARCELONA,66,4.99,1.16
GRANCANARIA,60,REALMADRID,68,4.13,1.22
BILBAO,95,MURCIA,80,1.1,6.44
LABRUIXADOR,81,BILBAO,73,2.35,1.57
UNICAJA,78,VALLADOLID,51,1.07,8.13
MURCIA,69,FUENLABRADA,63,1.63,2.24
LABORALKUTXA,72,OBRADOIROCAB,53,1.05,9.29
ESTUDIANTES,67,ZARAGOZA,63,1.33,3.21
BARCELONA,82,JOVENTUTBADALONA,70,1.02,12.66
ALICANTE,58,GRANCANARIA,55,1.37,3.02
REALMADRID,78,SEVILLA,65,1.1,6.94
GIPUZKOABASKET,80,VALENCIA,86,2.26,1.61
VALLADOLID,86,JOVENTUTBADALONA,67,1.71,2.08
SEVILLA,89,ESTUDIANTES,61,1.22,4.16
GIPUZKOABASKET,88,LABRUIXADOR,82,1.41,2.83
ZARAGOZA,67,MURCIA,59,1.31,3.41
UNICAJA,80,REALMADRID,96,2.3,1.6
OBRADOIROCAB,77,FUENLABRADA,85,1.54,2.44
GRANCANARIA,77,BILBAO,71,1.77,2.01
LABORALKUTXA,65,ALICANTE,55,1.14,5.42
VALENCIA,68,BARCELONA,72,3.8,1.25
ZARAGOZA,75,VALLADOLID,74,1.32,3.3
FUENLABRADA,69,GRANCANARIA,65,1.45,2.71
BILBAO,67,SEVILLA,75,1.3,3.41
LABRUIXADOR,74,ZARAGOZA,81,1.33,3.21
REALMADRID,82,GIPUZKOABASKET,74,1.03,10.95
MURCIA,83,VALENCIA,86,3.21,1.33
JOVENTUTBADALONA,73,OBRADOIROCAB,67,1.29,3.48
BARCELONA,77,VALLADOLID,67,1.01,14.06
ALICANTE,77,UNICAJA,97,2.25,1.62
ESTUDIANTES,54,LABORALKUTXA,74,2.84,1.41
ZARAGOZA,67,REALMADRID,84,3.77,1.26
VALLADOLID,65,MURCIA,76,1.37,3.02
UNICAJA,79,LABORALKUTXA,66,1.6,2.3
VALENCIA,75,LABRUIXADOR,67,1.12,5.83
SEVILLA,97,FUENLABRADA,99,1.21,4.35
OBRADOIROCAB,83,BARCELONA,89,8.91,1.06
BILBAO,72,ESTUDIANTES,66,1.18,4.73
GRANCANARIA,77,JOVENTUTBADALONA,71,1.32,3.34
GIPUZKOABASKET,68,ALICANTE,71,1.48,2.58
FUENLABRADA,82,BILBAO,73,1.69,2.12
JOVENTUTBADALONA,83,SEVILLA,65,2.01,1.76
MURCIA,60,OBRADOIROCAB,85,1.32,3.35
LABORALKUTXA,86,GIPUZKOABASKET,74,1.1,6.85
ESTUDIANTES,75,UNICAJA,84,2.07,1.72
BARCELONA,65,GRANCANARIA,49,1.03,11.79
ALICANTE,77,ZARAGOZA,75,1.34,3.19
REALMADRID,81,VALENCIA,64,1.15,5.15
LABRUIXADOR,80,VALLADOLID,75,1.26,3.79
BILBAO,85,VALENCIA,74,1.47,2.65
GRANCANARIA,84,OBRADOIROCAB,73,1.33,3.23
SEVILLA,87,VALLADOLID,73,1.15,5.39
MURCIA,67,LABORALKUTXA,75,3.31,1.32
JOVENTUTBADALONA,70,GIPUZKOABASKET,93,1.34,3.23
FUENLABRADA,88,ZARAGOZA,95,1.31,3.44
BARCELONA,72,UNICAJA,62,1.07,8.3
LABRUIXADOR,62,ALICANTE,76,1.43,2.76
ESTUDIANTES,90,REALMADRID,85,4.86,1.17
VALENCIA,80,SEVILLA,84,1.34,3.24
GIPUZKOABASKET,86,FUENLABRADA,70,1.58,2.36
UNICAJA,89,JOVENTUTBADALONA,88,1.12,5.95
VALLADOLID,70,GRANCANARIA,89,1.66,2.2
REALMADRID,83,LABRUIXADOR,61,1.05,10.78
OBRADOIROCAB,61,ESTUDIANTES,58,1.5,2.57
ALICANTE,63,MURCIA,62,1.3,3.49
