ANTALYABSB,67,TURKTELEKOM,62,3.35,1.29
TOFAS,89,ALIAGAPETKIM,72,1.38,2.93
DARUSSAFAKA,68,BESIKTAS,77,3.58,1.27
PINARKARSIYAKA,89,BORNOVABLD,68,1.29,3.41
FENERBAHCE,75,KEPEZBLD,67,1.08,6.96
MERSINBUYUKSEHIR,67,ANADOLUEFES,92,6.06,1.1
BANVITSPOR,71,ERDEMIRSPOR,68,1.32,3.23
ERDEMIRSPOR,93,FENERBAHCE,101,4.28,1.2
BORNOVABLD,75,TOFAS,74,1.69,2.1
BESIKTAS,88,ANTALYABSB,64,1.13,5.4
TURKTELEKOM,90,MERSINBUYUKSEHIR,78,1.11,5.85
OYAKRENAULT,87,PINARKARSIYAKA,85,1.69,2.08
ANADOLUEFES,71,BANVITSPOR,61,1.05,8.96
ALIAGAPETKIM,82,DARUSSAFAKA,75,1.68,2.09
ANTALYABSB,97,ALIAGAPETKIM,59,1.3,3.19
PINARKARSIYAKA,88,KEPEZBLD,76,1.44,2.62
FENERBAHCE,81,BANVITSPOR,63,1.09,6.23
MERSINBUYUKSEHIR,74,BESIKTAS,85,3.24,1.3
DARUSSAFAKA,50,BORNOVABLD,72,1.34,2.97
TOFAS,77,OYAKRENAULT,74,1.5,2.43
TURKTELEKOM,87,ANADOLUEFES,83,2.55,1.47
BESIKTAS,88,TURKTELEKOM,69,1.47,2.58
BORNOVABLD,83,ANTALYABSB,77,1.73,2.01
KEPEZBLD,66,TOFAS,74,1.31,3.25
OYAKRENAULT,68,DARUSSAFAKA,55,1.31,3.26
ERDEMIRSPOR,93,PINARKARSIYAKA,89,1.75,1.98
ALIAGAPETKIM,87,MERSINBUYUKSEHIR,80,1.51,2.44
ANADOLUEFES,80,FENERBAHCE,67,1.44,2.64
TURKTELEKOM,109,ALIAGAPETKIM,73,1.11,5.7
PINARKARSIYAKA,87,BANVITSPOR,82,1.28,3.48
MERSINBUYUKSEHIR,86,BORNOVABLD,75,1.67,2.12
ANTALYABSB,77,OYAKRENAULT,69,1.33,3.12
TOFAS,80,ERDEMIRSPOR,88,1.34,3.08
BESIKTAS,84,ANADOLUEFES,88,2.21,1.63
DARUSSAFAKA,57,KEPEZBLD,60,1.69,2.08
FENERBAHCE,76,PINARKARSIYAKA,88,1.05,8.11
ANADOLUEFES,83,GALATASARAY,73,1.1,6.48
BORNOVABLD,103,TURKTELEKOM,100,2.88,1.39
ALIAGAPETKIM,97,BESIKTAS,88,3.8,1.24
OYAKRENAULT,71,MERSINBUYUKSEHIR,75,1.41,2.79
ERDEMIRSPOR,84,DARUSSAFAKA,82,1.19,4.37
KEPEZBLD,85,ANTALYABSB,83,1.52,2.41
BANVITSPOR,92,TOFAS,71,1.32,3.18
PINARKARSIYAKA,73,GALATASARAY,79,1.51,2.48
MERSINBUYUKSEHIR,84,KEPEZBLD,71,1.49,2.5
TURKTELEKOM,69,OYAKRENAULT,65,1.06,7.94
BESIKTAS,106,BORNOVABLD,90,1.19,4.28
ANTALYABSB,82,ERDEMIRSPOR,77,1.5,2.51
DARUSSAFAKA,47,BANVITSPOR,68,2.34,1.57
TOFAS,70,FENERBAHCE,90,4.05,1.2
ALIAGAPETKIM,74,ANADOLUEFES,100,5.06,1.13
GALATASARAY,76,TOFAS,86,1.19,4.33
BORNOVABLD,77,ALIAGAPETKIM,75,1.33,3.17
KEPEZBLD,73,TURKTELEKOM,76,2.47,1.5
OYAKRENAULT,91,BESIKTAS,99,2.94,1.37
ERDEMIRSPOR,69,MERSINBUYUKSEHIR,68,1.4,2.81
BANVITSPOR,77,ANTALYABSB,59,1.34,3.08
FENERBAHCE,99,DARUSSAFAKA,71,1.01,11.02
ANADOLUEFES,91,PINARKARSIYAKA,74,1.06,8.13
ANTALYABSB,71,FENERBAHCE,78,3.13,1.33
TURKTELEKOM,87,ERDEMIRSPOR,68,1.14,5.03
BESIKTAS,102,KEPEZBLD,73,1.08,7.12
TOFAS,66,PINARKARSIYAKA,75,1.53,2.39
MERSINBUYUKSEHIR,93,BANVITSPOR,96,1.66,2.12
DARUSSAFAKA,58,GALATASARAY,69,3.7,1.25
BORNOVABLD,79,ANADOLUEFES,95,4.42,1.18
ALIAGAPETKIM,87,OYAKRENAULT,67,1.39,2.86
FENERBAHCE,87,MERSINBUYUKSEHIR,72,1.08,6.96
KEPEZBLD,77,ALIAGAPETKIM,80,1.71,2.08
OYAKRENAULT,85,BORNOVABLD,82,1.54,2.39
ANADOLUEFES,86,TOFAS,56,1.04,9.41
PINARKARSIYAKA,76,DARUSSAFAKA,66,1.07,7.64
