WASHINGTONWIZARDS,78,PHILADELPHIA76ERS,103,2.05,1.75
INDIANAPACERS,86,CHICAGOBULLS,95,2.53,1.52
DETROITPISTONS,87,CLEVELANDCAVALIERS,91,1.41,2.89
MEMPHISGRIZZLIES,90,NEWORLEANSPELICANS,97,1.2,4.57
BROOKLYNNETS,83,NEWYORKKNICKS,92,2.7,1.46
MINNESOTATIMBERWOLVES,117,MILWAUKEEBUCKS,96,1.44,2.8
HOUSTONROCKETS,101,SANANTONIOSPURS,87,1.72,2.11
GOLDENSTATEWARRIORS,107,SACRAMENTOKINGS,96,1.46,2.72
TORONTORAPTORS,75,BOSTONCELTICS,76,2.73,1.46
MIAMIHEAT,118,ORLANDOMAGIC,85,1.4,2.97
DALLASMAVERICKS,92,OKLAHOMACITYTHUNDER,106,1.72,2.12
CHARLOTTEHORNETS,79,ATLANTAHAWKS,77,2.44,1.57
PORTLANDTRAILBLAZERS,110,UTAHJAZZ,90,1.28,3.78
LOSANGELESLAKERS,95,LOSANGELESCLIPPERS,114,1.63,2.28
PHILADELPHIA76ERS,101,WASHINGTONWIZARDS,94,1.27,3.77
CLEVELANDCAVALIERS,89,DETROITPISTONS,90,1.6,2.34
OKLAHOMACITYTHUNDER,87,DALLASMAVERICKS,83,1.4,2.95
CHICAGOBULLS,93,INDIANAPACERS,85,1.25,3.94
DENVERNUGGETS,127,PHOENIXSUNS,110,1.54,2.49
SACRAMENTOKINGS,95,GOLDENSTATEWARRIORS,91,2.23,1.66
ORLANDOMAGIC,104,MIAMIHEAT,100,3.3,1.34
NEWYORKKNICKS,88,BROOKLYNNETS,82,1.33,3.36
BOSTONCELTICS,81,TORONTORAPTORS,73,1.42,2.86
NEWORLEANSPELICANS,95,MEMPHISGRIZZLIES,80,3.12,1.36
MILWAUKEEBUCKS,84,MINNESOTATIMBERWOLVES,85,1.33,3.35
SANANTONIOSPURS,97,HOUSTONROCKETS,95,1.54,2.49
UTAHJAZZ,92,PORTLANDTRAILBLAZERS,89,1.53,2.55
LOSANGELESCLIPPERS,108,LOSANGELESLAKERS,103,1.35,3.19
ATLANTAHAWKS,92,CHARLOTTEHORNETS,75,1.3,3.59
PHOENIXSUNS,85,DENVERNUGGETS,110,1.79,2.02
NEWYORKKNICKS,106,BOSTONCELTICS,104,1.51,2.62
DALLASMAVERICKS,94,MIAMIHEAT,105,2.68,1.49
LOSANGELESLAKERS,87,CHICAGOBULLS,88,2.67,1.49
OKLAHOMACITYTHUNDER,97,ORLANDOMAGIC,89,1.28,3.8
GOLDENSTATEWARRIORS,86,LOSANGELESCLIPPERS,105,2.81,1.45
WASHINGTONWIZARDS,84,BROOKLYNNETS,90,1.59,2.4
ORLANDOMAGIC,104,HOUSTONROCKETS,95,1.39,3.12
INDIANAPACERS,91,DETROITPISTONS,79,1.25,4.09
CLEVELANDCAVALIERS,96,TORONTORAPTORS,104,1.74,2.14
CHARLOTTEHORNETS,96,MILWAUKEEBUCKS,95,2.52,1.54
MINNESOTATIMBERWOLVES,100,OKLAHOMACITYTHUNDER,104,2.88,1.43
SANANTONIOSPURS,95,MEMPHISGRIZZLIES,82,1.46,2.78
DALLASMAVERICKS,93,DENVERNUGGETS,115,1.5,2.65
PHOENIXSUNS,84,NEWORLEANSPELICANS,85,1.37,3.19
SACRAMENTOKINGS,100,LOSANGELESLAKERS,91,2.28,1.65
PORTLANDTRAILBLAZERS,107,PHILADELPHIA76ERS,103,1.48,2.68
GOLDENSTATEWARRIORS,99,CHICAGOBULLS,91,3.38,1.33
BROOKLYNNETS,70,ATLANTAHAWKS,106,2.53,1.54
MIAMIHEAT,115,BOSTONCELTICS,107,1.17,5.29
MILWAUKEEBUCKS,98,MINNESOTATIMBERWOLVES,95,1.44,2.87
PORTLANDTRAILBLAZERS,101,SACRAMENTOKINGS,79,1.22,4.38
LOSANGELESLAKERS,96,UTAHJAZZ,71,1.41,2.96
TORONTORAPTORS,85,INDIANAPACERS,90,2.47,1.56
CHARLOTTEHORNETS,95,MIAMIHEAT,96,6.91,1.11
ATLANTAHAWKS,101,WASHINGTONWIZARDS,83,1.21,4.56
DETROITPISTONS,89,CLEVELANDCAVALIERS,105,1.43,2.9
NEWORLEANSPELICANS,97,BOSTONCELTICS,78,2.57,1.53
MEMPHISGRIZZLIES,95,OKLAHOMACITYTHUNDER,98,1.95,1.87
SANANTONIOSPURS,115,LOSANGELESCLIPPERS,90,1.51,2.64
PHOENIXSUNS,83,PHILADELPHIA76ERS,103,2.04,1.8
DENVERNUGGETS,117,UTAHJAZZ,100,1.08,8.8
GOLDENSTATEWARRIORS,92,NEWYORKKNICKS,78,3.09,1.39
ORLANDOMAGIC,94,BROOKLYNNETS,78,1.1,7.34
OKLAHOMACITYTHUNDER,104,DALLASMAVERICKS,102,1.44,2.85
HOUSTONROCKETS,105,SANANTONIOSPURS,85,2.28,1.66
SACRAMENTOKINGS,98,CHICAGOBULLS,108,3.93,1.27
PORTLANDTRAILBLAZERS,111,DENVERNUGGETS,102,1.43,2.87
LOSANGELESLAKERS,99,NEWYORKKNICKS,82,1.54,2.54
INDIANAPACERS,98,CLEVELANDCAVALIERS,91,1.17,5.32
CHARLOTTEHORNETS,79,ORLANDOMAGIC,100,2.53,1.54
BOSTONCELTICS,96,DETROITPISTONS,85,1.14,5.88
ATLANTAHAWKS,105,BROOKLYNNETS,98,1.09,7.79
NEWORLEANSPELICANS,78,PHOENIXSUNS,93,1.74,2.12
MINNESOTATIMBERWOLVES,101,MIAMIHEAT,103,4.28,1.24
MEMPHISGRIZZLIES,113,HOUSTONROCKETS,93,1.36,3.2
MILWAUKEEBUCKS,102,WASHINGTONWIZARDS,81,1.21,4.67
DALLASMAVERICKS,99,TORONTORAPTORS,86,1.21,4.62
UTAHJAZZ,102,PHILADELPHIA76ERS,99,2.63,1.51
LOSANGELESCLIPPERS,101,CHICAGOBULLS,114,2.03,1.8
LOSANGELESLAKERS,92,DENVERNUGGETS,89,1.44,2.84
DETROITPISTONS,96,INDIANAPACERS,88,2.19,1.7
HOUSTONROCKETS,95,ATLANTAHAWKS,84,1.85,1.97
SACRAMENTOKINGS,92,NEWYORKKNICKS,114,1.95,1.88
OKLAHOMACITYTHUNDER,107,PHOENIXSUNS,97,1.1,7.3
SANANTONIOSPURS,104,UTAHJAZZ,89,1.06,10.51
GOLDENSTATEWARRIORS,79,PHILADELPHIA76ERS,107,2.09,1.77
WASHINGTONWIZARDS,86,BOSTONCELTICS,94,3.42,1.33
ORLANDOMAGIC,102,TORONTORAPTORS,96,1.1,7.47
MIAMIHEAT,129,CHARLOTTEHORNETS,90,1.04,12.34
CLEVELANDCAVALIERS,98,BROOKLYNNETS,82,1.71,2.16
MINNESOTATIMBERWOLVES,99,DALLASMAVERICKS,82,2.31,1.64
DENVERNUGGETS,99,LOSANGELESLAKERS,90,1.47,2.74
CHICAGOBULLS,104,MEMPHISGRIZZLIES,64,1.3,3.66
SACRAMENTOKINGS,96,NEWORLEANSPELICANS,80,1.59,2.43
LOSANGELESCLIPPERS,93,PORTLANDTRAILBLAZERS,88,1.63,2.33
PHOENIXSUNS,102,GOLDENSTATEWARRIORS,91,1.55,2.51
NEWYORKKNICKS,85,TORONTORAPTORS,90,1.23,4.31
MIAMIHEAT,92,ATLANTAHAWKS,100,1.13,5.95
DETROITPISTONS,89,ORLANDOMAGIC,78,2.64,1.5
BROOKLYNNETS,94,INDIANAPACERS,108,3.1,1.39
BOSTONCELTICS,100,WASHINGTONWIZARDS,92,1.11,7.22
MINNESOTATIMBERWOLVES,106,SANANTONIOSPURS,96,2.75,1.47
DALLASMAVERICKS,100,OKLAHOMACITYTHUNDER,87,2.21,1.69
UTAHJAZZ,94,NEWORLEANSPELICANS,90,1.32,3.43
DENVERNUGGETS,91,MILWAUKEEBUCKS,86,1.51,2.63
CLEVELANDCAVALIERS,115,CHARLOTTEHORNETS,101,1.55,2.49
OKLAHOMACITYTHUNDER,93,PORTLANDTRAILBLAZERS,103,1.49,2.69
MEMPHISGRIZZLIES,113,SACRAMENTOKINGS,96,1.35,3.33
CHICAGOBULLS,76,ATLANTAHAWKS,74,1.17,5.33
UTAHJAZZ,85,MILWAUKEEBUCKS,73,1.82,2.0
LOSANGELESLAKERS,108,HOUSTONROCKETS,99,1.3,3.63
TORONTORAPTORS,92,CLEVELANDCAVALIERS,77,1.47,2.74
ORLANDOMAGIC,103,WASHINGTONWIZARDS,85,1.06,10.07
NEWYORKKNICKS,110,CHARLOTTEHORNETS,118,1.11,7.11
MIAMIHEAT,118,INDIANAPACERS,83,1.26,4.0
DETROITPISTONS,83,CHICAGOBULLS,99,3.32,1.34
BOSTONCELTICS,89,BROOKLYNNETS,70,1.06,10.14
NEWORLEANSPELICANS,93,PHILADELPHIA76ERS,101,2.86,1.44
MINNESOTATIMBERWOLVES,86,MEMPHISGRIZZLIES,90,1.5,2.64
SANANTONIOSPURS,101,GOLDENSTATEWARRIORS,95,1.27,3.96
DALLASMAVERICKS,98,PHOENIXSUNS,89,1.26,3.94
DENVERNUGGETS,110,SACRAMENTOKINGS,83,1.09,7.81
LOSANGELESCLIPPERS,117,HOUSTONROCKETS,89,1.29,3.72
ATLANTAHAWKS,109,MIAMIHEAT,116,1.5,2.64
SANANTONIOSPURS,93,DALLASMAVERICKS,71,1.72,2.17
SACRAMENTOKINGS,103,MILWAUKEEBUCKS,100,2.32,1.62
PORTLANDTRAILBLAZERS,107,LOSANGELESLAKERS,96,1.58,2.43
WASHINGTONWIZARDS,96,NEWYORKKNICKS,99,3.14,1.38
TORONTORAPTORS,85,BROOKLYNNETS,97,1.35,3.27
PHILADELPHIA76ERS,96,DETROITPISTONS,73,1.15,5.71
CHARLOTTEHORNETS,96,ATLANTAHAWKS,102,2.05,1.79
BOSTONCELTICS,74,INDIANAPACERS,87,1.38,3.1
